AvgStoryQ	MinStoryQ	MinCosSim	MinVariance	CCAMatchCount	CCAArtMatchRatio	CCAAvgMatchWgt	CCAAvgCosSim	ConceptCosSim	EntityCosSim	KeywordCosSim	ConceptJaccardSim	EntityJaccardSim	KeywordJaccardSim	TimeDiff	CoreTimeDiff	ExtractedDateJaccardSim	MatchingDateCount	MatchingDateRatio	CategorySim	HasSameLocation	DummyVar	ShouldMerge	Language pair
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	string
																						class	meta
26.500	12.000	0.521	0.233	0.000	0.000	0.000	0.000	0.581	0.631	0.584	0.193	0.219	0.176	4.049	18.967	0.000	0.000	0.000	1.000	?	1.000	yes	eng-eng	
26.000	11.000	0.521	0.233	9.000	0.099	91.444	0.673	0.705	0.713	0.706	0.206	0.222	0.200	26.313	121.800	0.870	1.000	0.900	1.000	?	1.000	yes	eng-eng	
24.500	8.000	0.521	0.233	24.000	0.133	94.875	0.730	0.765	0.828	0.770	0.158	0.217	0.132	88.485	200.183	0.833	1.000	0.900	0.000	?	1.000	yes	eng-spa	
28.500	16.000	0.521	0.233	0.000	0.000	0.000	0.000	0.927	0.768	0.939	0.433	0.238	0.538	199.806	170.350	0.679	1.000	0.669	1.000	?	1.000	yes	eng-eng	
34.000	27.000	0.521	0.233	22.000	0.059	96.091	0.729	0.663	0.647	0.675	0.277	0.353	0.250	147.354	142.933	0.800	1.000	0.800	1.000	?	1.000	yes	eng-eng	
27.500	14.000	0.521	0.233	32.000	0.229	94.813	0.763	0.589	0.752	0.579	0.171	0.261	0.132	129.354	116.167	0.850	1.000	0.900	0.000	?	1.000	yes	eng-spa	
20.000	19.000	0.408	0.343	264.000	0.272	75.318	0.610	0.825	0.954	0.646	0.239	0.360	0.174	4.075	0.083	0.667	1.000	0.693	1.000	1.000	1.000	yes	eng-eng	
14.500	8.000	0.408	0.343	41.000	0.188	77.610	0.626	0.795	0.914	0.461	0.131	0.206	0.080	31.502	0.017	0.667	1.000	0.818	1.000	?	1.000	yes	eng-eng	
14.500	8.000	0.408	0.343	10.000	0.100	56.200	0.674	0.569	0.886	0.108	0.130	0.269	0.059	2.403	1.233	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-spa	
18.000	15.000	0.408	0.343	37.000	0.154	70.405	0.681	0.612	0.894	0.189	0.313	0.500	0.174	0.781	1.050	0.000	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
15.500	10.000	0.408	0.343	55.000	0.141	58.764	0.629	0.489	0.835	0.141	0.207	0.378	0.080	13.136	1.967	0.714	1.000	0.818	0.000	0.000	1.000	yes	eng-spa	
24.000	21.000	0.408	0.343	48.000	0.126	55.979	0.733	0.364	0.638	0.099	0.188	0.367	0.080	1.477	0.700	0.667	1.000	0.818	0.000	1.000	1.000	yes	eng-spa	
34.500	32.000	0.516	0.210	59.000	0.161	86.593	0.785	0.930	0.945	0.918	0.607	0.462	0.714	4.174	0.133	0.462	2.000	0.417	0.000	1.000	1.000	yes	eng-eng	
34.000	27.000	0.482	0.303	169.000	0.181	84.047	0.776	0.667	0.711	0.640	0.221	0.364	0.152	5.120	0.167	0.727	1.000	0.717	0.000	?	1.000	yes	eng-eng	
22.500	22.000	0.462	0.254	67.000	0.108	92.209	0.750	0.909	0.906	0.914	0.600	0.579	0.622	5.445	4.200	0.714	1.000	0.750	0.000	0.000	1.000	yes	eng-eng	
32.500	28.000	0.679	0.038	23.000	0.215	96.435	0.957	0.944	0.940	0.948	0.711	0.667	0.741	1.755	0.950	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
10.000	10.000	0.536	0.337	12.000	0.156	92.000	0.781	0.755	0.854	0.610	0.364	0.500	0.304	25.357	9.100	0.333	1.000	0.333	0.000	0.000	1.000	yes	eng-eng	
47.500	39.000	0.930	0.106	19.000	0.121	98.526	0.959	0.713	0.859	0.603	0.519	0.667	0.395	8.203	3.683	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
17.000	15.000	0.619	0.117	19.000	0.297	96.684	0.883	0.529	0.904	0.411	0.146	0.267	0.091	12.433	11.650	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
4.500	4.000	0.389	0.308	2.000	0.056	74.500	0.587	0.216	0.120	0.256	0.071	0.053	0.091	16.645	6.333	0.000	0.000	0.000	1.000	0.000	1.000	no	eng-eng	
14.000	9.000	0.576	0.216	13.000	0.134	94.154	0.795	0.765	0.830	0.696	0.500	0.541	0.463	6.217	9.383	?	0.000	0.000	0.000	?	1.000	yes	eng-eng	
15.000	6.000	0.439	0.471	34.000	0.230	80.794	0.703	0.753	0.907	0.600	0.446	0.538	0.364	15.510	3.267	0.000	0.000	0.000	0.000	?	1.000	yes	eng-eng	
17.500	10.000	0.469	0.191	24.000	0.353	90.792	0.748	0.906	0.911	0.907	0.510	0.545	0.500	37.989	3.767	0.000	0.000	0.000	0.000	?	1.000	yes	eng-eng	
31.000	24.000	0.734	0.266	32.000	0.327	96.313	0.847	0.799	0.873	0.765	0.548	0.565	0.538	12.020	6.067	?	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
10.000	8.000	0.411	0.347	34.000	0.116	75.765	0.610	0.867	0.875	0.869	0.388	0.536	0.282	13.549	31.217	0.000	0.000	0.000	0.000	?	1.000	yes	eng-eng	
26.500	12.000	0.552	0.184	44.000	0.407	89.182	0.838	0.808	0.976	0.723	0.525	0.579	0.500	15.970	12.633	?	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
17.000	8.000	0.592	0.398	15.000	0.185	82.400	0.772	0.685	0.642	0.691	0.263	0.125	0.364	6.011	20.083	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
17.500	16.000	0.455	0.175	21.000	0.063	84.190	0.828	0.746	0.823	0.534	0.381	0.526	0.261	12.853	10.783	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
27.500	26.000	0.724	0.272	25.000	0.198	86.240	0.818	0.565	0.388	0.629	0.333	0.440	0.277	3.990	5.050	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
33.000	22.000	0.621	0.047	40.000	0.513	96.250	0.933	0.625	0.838	0.549	0.278	0.400	0.231	2.432	3.067	?	0.000	0.000	0.000	?	1.000	yes	deu-deu	
23.500	18.000	0.513	0.062	25.000	0.133	86.360	0.840	0.497	0.648	0.390	0.314	0.391	0.277	26.474	24.733	0.444	1.000	0.425	0.000	0.000	1.000	yes	eng-spa	
15.000	11.000	0.457	0.265	41.000	0.357	83.049	0.668	0.923	0.932	0.920	0.492	0.542	0.463	3.039	0.217	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
11.500	11.000	0.632	0.500	13.000	0.265	81.462	0.829	0.654	0.407	0.694	0.262	0.063	0.333	20.875	4.033	?	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
16.500	15.000	0.407	0.257	7.000	0.037	84.714	0.574	0.020	0.007	0.047	0.125	0.091	0.154	35.034	39.817	0.000	0.000	0.000	0.000	?	1.000	yes	eng-eng	
16.500	14.000	0.482	0.140	47.000	0.495	95.872	0.859	0.916	0.930	0.914	0.396	0.476	0.344	0.216	7.467	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
23.500	10.000	0.639	0.366	23.000	0.354	91.348	0.723	0.789	0.844	0.791	0.368	0.257	0.463	3.244	1.250	?	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
8.500	8.000	0.626	0.593	22.000	0.301	79.000	0.620	0.614	0.739	0.565	0.342	0.357	0.333	4.742	6.800	?	0.000	0.000	0.000	?	1.000	yes	eng-eng	
15.000	2.000	0.261	0.120	5.000	0.037	73.600	0.623	0.054	0.084	0.027	0.059	0.116	0.017	10.143	15.617	0.000	0.000	0.000	0.000	?	1.000	no	eng-eng	
31.500	16.000	0.590	0.238	30.000	0.085	79.200	0.771	0.505	0.662	0.389	0.282	0.409	0.224	12.199	0.000	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
23.500	21.000	0.624	0.340	8.000	0.119	70.750	0.777	0.129	0.140	0.136	0.145	0.094	0.176	20.136	41.367	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-eng	
5.000	5.000	0.375	0.343	16.000	0.158	68.000	0.610	0.873	0.943	0.812	0.333	0.400	0.295	3.229	13.950	?	0.000	0.000	0.000	?	1.000	no	eng-eng	
18.500	15.000	0.438	0.335	42.000	0.667	90.690	0.776	0.562	0.668	0.467	0.263	0.368	0.167	17.408	3.433	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
46.000	35.000	0.862	0.198	2.000	0.038	95.000	0.953	0.835	0.743	0.863	0.524	0.308	0.621	0.123	0.000	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
37.000	17.000	0.547	0.198	3.000	0.004	95.667	0.701	0.513	0.555	0.509	0.303	0.313	0.295	2.158	1.233	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
37.000	17.000	0.598	0.198	5.000	0.007	94.000	0.755	0.521	0.552	0.517	0.286	0.273	0.295	7.049	0.233	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
31.500	26.000	0.548	0.155	16.000	0.039	61.688	0.693	0.384	0.713	0.168	0.178	0.278	0.111	5.020	2.883	0.950	1.000	0.950	0.000	0.000	1.000	yes	deu-eng	
28.000	19.000	0.548	0.155	1.000	0.006	42.000	0.711	0.314	0.528	0.169	0.113	0.100	0.122	7.550	3.033	1.000	1.000	1.000	0.000	?	1.000	yes	deu-eng	
34.500	32.000	0.588	0.017	12.000	0.100	67.750	0.817	0.317	0.512	0.140	0.131	0.211	0.065	7.340	2.717	1.000	1.000	1.000	0.000	0.000	1.000	yes	deu-eng	
28.500	20.000	0.537	0.155	13.000	0.065	62.000	0.741	0.281	0.477	0.165	0.172	0.302	0.071	8.705	4.400	1.000	1.000	1.000	0.000	0.000	1.000	yes	deu-eng	
20.000	18.000	0.433	0.281	58.000	0.103	78.759	0.651	0.896	0.948	0.837	0.500	0.543	0.463	3.611	5.883	1.000	2.000	1.000	0.000	1.000	1.000	yes	eng-eng	
19.000	16.000	0.364	0.313	172.000	0.064	76.977	0.603	0.920	0.949	0.904	0.533	0.528	0.538	0.873	0.533	0.850	2.000	0.917	0.000	1.000	1.000	yes	eng-eng	
18.500	15.000	0.371	0.313	74.000	0.059	75.284	0.575	0.906	0.953	0.839	0.533	0.618	0.463	3.232	2.333	0.692	2.000	0.818	0.000	1.000	1.000	yes	eng-eng	
18.500	15.000	0.425	0.313	17.000	0.025	82.824	0.659	0.854	0.943	0.721	0.456	0.618	0.333	11.488	9.867	0.400	1.000	0.417	0.000	1.000	1.000	yes	eng-eng	
20.500	19.000	0.422	0.313	41.000	0.036	75.488	0.636	0.839	0.922	0.720	0.386	0.486	0.304	15.299	14.967	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
17.500	13.000	0.433	0.303	36.000	0.098	77.806	0.663	0.842	0.940	0.790	0.494	0.486	0.500	0.723	3.483	0.750	1.000	0.750	0.000	0.000	1.000	yes	eng-eng	
19.000	16.000	0.433	0.295	23.000	0.042	73.130	0.636	0.819	0.832	0.801	0.456	0.450	0.462	0.829	3.217	0.889	1.000	0.750	0.000	1.000	1.000	yes	eng-eng	
20.000	18.000	0.433	0.258	13.000	0.025	69.231	0.653	0.801	0.880	0.682	0.357	0.459	0.277	21.478	21.550	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
21.500	21.000	0.430	0.313	64.000	0.055	77.766	0.637	0.780	0.792	0.763	0.369	0.375	0.364	6.402	7.617	1.000	2.000	1.000	0.000	1.000	1.000	yes	eng-eng	
24.000	22.000	0.433	0.200	35.000	0.072	83.257	0.722	0.747	0.919	0.655	0.464	0.577	0.395	2.502	6.017	0.833	1.000	0.700	0.000	0.000	1.000	yes	eng-eng	
15.500	9.000	0.433	0.280	13.000	0.130	83.846	0.662	0.795	0.862	0.730	0.278	0.250	0.304	1.107	1.983	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
24.500	22.000	0.433	0.105	0.000	0.000	0.000	0.000	0.696	0.735	0.682	0.440	0.455	0.429	3.093	6.917	0.667	1.000	0.625	0.000	1.000	1.000	yes	eng-eng	
18.500	15.000	0.407	0.313	21.000	0.021	68.952	0.632	0.663	0.855	0.381	0.322	0.447	0.224	3.546	0.050	0.333	1.000	0.375	0.000	1.000	1.000	yes	deu-eng	
14.500	7.000	0.433	0.286	6.000	0.050	70.833	0.690	0.664	0.884	0.328	0.310	0.421	0.224	11.731	5.733	0.000	0.000	0.000	0.000	?	1.000	yes	deu-eng	
15.500	9.000	0.424	0.313	7.000	0.025	70.286	0.646	0.640	0.898	0.285	0.325	0.471	0.224	16.715	16.283	0.000	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
20.000	18.000	0.433	0.268	33.000	0.053	57.303	0.663	0.621	0.884	0.372	0.242	0.325	0.176	2.229	5.683	0.375	1.000	0.417	0.000	0.000	1.000	yes	eng-spa	
15.500	9.000	0.433	0.240	5.000	0.042	75.200	0.683	0.635	0.865	0.263	0.313	0.441	0.224	12.670	6.383	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-eng	
15.500	9.000	0.423	0.313	3.000	0.010	62.667	0.691	0.546	0.866	0.179	0.264	0.486	0.111	5.851	8.100	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-spa	
34.500	29.000	?	?	0.000	0.000	0.000	0.000	?	?	?	?	?	?	?	?	0.000	0.000	0.000	0.000	?	1.000	no	-eng	
25.000	21.000	0.493	0.086	0.000	0.000	0.000	0.000	0.031	0.000	0.051	0.026	0.000	0.036	16.587	4.950	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
20.500	12.000	0.493	0.257	0.000	0.000	0.000	0.000	0.072	0.036	0.080	0.049	0.083	0.034	74.098	110.117	0.000	0.000	0.000	0.000	?	1.000	no	eng-zho	
30.500	30.000	0.629	0.046	0.000	0.000	0.000	0.000	0.057	0.000	0.065	0.031	0.000	0.038	30.621	27.967	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
27.500	24.000	0.621	0.105	0.000	0.000	0.000	0.000	0.018	0.000	0.022	0.015	0.000	0.019	10.794	2.483	0.000	0.000	0.000	0.000	?	1.000	no	eng-spa	
19.000	7.000	0.467	0.105	0.000	0.000	0.000	0.000	0.095	0.064	0.102	0.080	0.050	0.091	601.456	24.450	0.000	0.000	0.000	0.000	?	1.000	no	eng-spa	
22.500	14.000	0.449	0.105	0.000	0.000	0.000	0.000	0.072	0.246	0.062	0.068	0.059	0.071	3.448	14.167	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-eng	
21.500	12.000	0.475	0.105	0.000	0.000	0.000	0.000	0.047	0.013	0.054	0.043	0.027	0.053	32.397	34.317	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
19.000	7.000	0.391	0.105	0.000	0.000	0.000	0.000	0.020	0.057	0.018	0.049	0.042	0.053	35.195	3.683	0.556	1.000	0.550	0.000	?	1.000	no	eng-eng	
18.500	6.000	0.376	0.105	1.000	0.004	56.000	0.744	0.067	0.000	0.081	0.021	0.000	0.034	136.877	10.250	0.000	0.000	0.000	0.000	?	1.000	no	eng-zho	
17.500	4.000	0.389	0.105	0.000	0.000	0.000	0.000	0.012	0.000	0.015	0.026	0.000	0.034	4.915	1.817	0.600	1.000	0.750	0.000	?	1.000	no	eng-eng	
9.500	8.000	0.432	0.238	11.000	0.256	84.909	0.729	0.745	0.836	0.614	0.486	0.563	0.429	18.078	2.167	?	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
13.500	10.000	0.500	0.167	16.000	0.160	81.813	0.803	0.654	0.895	0.472	0.315	0.333	0.304	30.501	15.583	?	0.000	0.000	0.000	1.000	1.000	yes	deu-deu	
11.000	10.000	0.549	0.178	4.000	0.048	91.250	0.830	0.603	0.000	0.751	0.167	0.000	0.273	13.992	68.900	?	0.000	0.000	1.000	?	1.000	no	eng-eng	
11.500	10.000	0.621	0.482	16.000	0.216	32.250	0.695	0.022	0.010	0.030	0.037	0.042	0.034	197.419	179.283	?	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
9.000	7.000	0.438	0.300	9.000	0.064	42.000	0.563	0.023	0.000	0.027	0.047	0.000	0.071	2.059	5.000	0.000	0.000	0.000	0.000	?	1.000	no	deu-eng	
11.500	6.000	0.448	0.156	2.000	0.020	22.500	0.741	0.027	0.000	0.037	0.034	0.000	0.053	17.442	4.717	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
16.000	10.000	0.406	0.159	27.000	0.110	84.037	0.722	0.719	0.813	0.651	0.412	0.500	0.333	16.788	13.017	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
8.000	5.000	0.436	0.272	5.000	0.116	58.400	0.763	0.037	0.085	0.000	0.016	0.056	0.000	54.271	9.150	?	0.000	0.000	0.000	0.000	1.000	no	deu-deu	
13.500	9.000	0.399	0.104	0.000	0.000	0.000	0.000	0.659	0.929	0.524	0.227	0.280	0.200	31.635	12.217	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
6.000	6.000	0.376	0.337	10.000	0.114	22.100	0.725	0.029	0.074	0.009	0.029	0.045	0.017	41.907	147.333	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
13.500	5.000	0.455	0.144	2.000	0.020	31.000	0.642	0.005	0.000	0.011	0.010	0.000	0.018	24.284	19.033	?	0.000	0.000	0.000	?	1.000	no	deu-eng	
11.500	11.000	0.516	0.309	20.000	0.313	82.000	0.704	0.756	0.575	0.829	0.288	0.455	0.250	15.730	12.800	?	0.000	0.000	0.000	0.000	1.000	yes	deu-deu	
5.500	5.000	0.396	0.333	5.000	0.098	80.400	0.498	0.613	0.524	0.709	0.137	0.130	0.140	1.093	0.533	0.000	0.000	0.000	0.000	0.000	1.000	yes	spa-spa	
11.000	8.000	0.402	0.311	34.000	0.233	40.529	0.600	0.452	0.503	0.438	0.185	0.256	0.132	9.590	4.317	0.000	0.000	0.000	0.000	0.000	1.000	yes	deu-spa	
10.000	9.000	0.595	0.471	8.000	0.163	79.750	0.698	0.604	0.716	0.579	0.262	0.545	0.200	48.161	122.367	1.000	1.000	1.000	0.000	?	1.000	yes	spa-spa	
5.500	5.000	0.372	0.313	1.000	0.008	39.000	0.504	0.051	0.000	0.063	0.043	0.000	0.071	13.077	4.483	?	0.000	0.000	0.000	?	1.000	no	deu-eng	
5.000	4.000	0.375	0.359	16.000	0.133	93.500	0.628	0.404	0.812	0.052	0.099	0.176	0.053	21.983	1.700	?	0.000	0.000	0.000	?	1.000	yes	deu-eng	
9.000	6.000	0.415	0.312	11.000	0.180	78.273	0.699	0.453	0.433	0.479	0.158	0.163	0.154	20.315	3.983	0.000	0.000	0.000	0.000	?	1.000	no	eng-eng	
6.000	6.000	0.388	0.306	14.000	0.304	71.357	0.515	0.185	0.272	0.166	0.051	0.031	0.064	27.105	15.317	?	0.000	0.000	0.000	0.000	1.000	no	deu-deu	
33.500	9.000	0.676	0.099	0.000	0.000	0.000	0.000	0.005	0.004	0.005	0.029	0.045	0.017	3.254	12.933	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
12.000	7.000	0.472	0.264	13.000	0.063	80.615	0.698	0.790	0.789	0.814	0.429	0.389	0.463	14.793	2.517	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
6.500	4.000	0.377	0.229	8.000	0.154	84.250	0.760	0.862	0.800	0.881	0.566	0.405	0.765	18.771	10.517	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
18.500	16.000	0.517	0.037	10.000	0.125	75.600	0.847	0.737	0.834	0.081	0.188	0.250	0.083	27.014	35.783	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-spa	
7.000	5.000	0.384	0.277	9.000	0.076	28.667	0.616	0.009	0.000	0.014	0.009	0.000	0.017	47.065	79.367	?	0.000	0.000	0.000	?	1.000	no	deu-eng	
14.500	14.000	0.447	0.177	29.000	0.518	78.000	0.754	0.170	0.142	0.181	0.170	0.132	0.200	30.570	33.217	?	0.000	0.000	0.000	?	1.000	no	eng-eng	
12.000	9.000	0.430	0.209	5.000	0.044	82.600	0.735	0.000	0.000	0.000	0.000	0.000	0.000	13.790	1.250	0.000	0.000	0.000	0.000	?	1.000	no	eng-eng	
16.000	6.000	0.479	0.118	38.000	0.633	35.763	0.790	0.031	0.000	0.050	0.036	0.000	0.053	54.288	48.167	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
26.000	23.000	0.668	0.054	12.000	0.094	94.000	0.894	0.330	0.737	0.078	0.119	0.227	0.054	0.148	6.650	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
18.500	17.000	0.563	0.157	21.000	0.144	88.714	0.841	0.811	0.872	0.642	0.361	0.407	0.333	1.688	4.050	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
7.500	5.000	0.406	0.262	9.000	0.148	27.556	0.710	0.006	0.015	0.000	0.019	0.047	0.000	36.752	37.983	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
26.500	24.000	0.583	0.037	1.000	0.009	90.000	0.912	0.077	0.027	0.101	0.075	0.026	0.111	21.878	24.800	?	0.000	0.000	0.000	0.000	1.000	no	eng-eng	
17.000	16.000	0.601	0.080	18.000	0.720	97.333	0.913	0.607	0.942	0.536	0.381	0.500	0.333	9.635	3.650	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-deu	
23.000	12.000	0.598	0.220	32.000	0.571	87.063	0.835	0.535	0.663	0.535	0.396	0.400	0.395	6.428	1.850	?	0.000	0.000	0.000	?	1.000	yes	deu-deu	
29.000	9.000	0.556	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.846	3.283	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
8.500	7.000	0.373	0.260	23.000	0.348	82.043	0.651	0.765	0.741	0.779	0.388	0.342	0.429	13.874	13.383	?	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
15.000	5.000	0.439	0.184	17.000	0.193	43.765	0.739	0.034	0.000	0.038	0.037	0.000	0.053	84.597	20.683	0.000	0.000	0.000	0.000	?	1.000	no	eng-spa	
40.000	40.000	?	?	0.000	0.000	0.000	0.000	?	?	?	?	?	?	?	?	?	0.000	0.000	0.000	?	1.000	no	-	
14.500	8.000	0.446	0.194	14.000	0.073	96.500	0.784	0.208	0.488	0.117	0.120	0.222	0.071	131.664	1.417	0.000	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
13.500	7.000	0.426	0.319	48.000	0.282	63.688	0.680	0.489	0.673	0.443	0.241	0.303	0.200	5.420	0.417	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-spa	
9.500	4.000	0.367	0.248	0.000	0.000	0.000	0.000	0.051	0.059	0.047	0.048	0.057	0.042	13.630	24.117	0.000	0.000	0.000	0.000	?	1.000	no	deu-spa	
15.500	6.000	0.422	0.322	1.000	0.013	16.000	0.670	0.206	0.651	0.057	0.100	0.182	0.053	141.428	2.600	0.000	0.000	0.000	0.000	1.000	1.000	no	deu-spa	
9.000	6.000	0.393	0.222	14.000	0.085	42.071	0.707	0.011	0.005	0.016	0.036	0.038	0.034	478.915	4.567	?	0.000	0.000	0.000	?	1.000	no	eng-spa	
19.000	17.000	0.525	0.224	38.000	0.475	85.921	0.792	0.303	0.356	0.293	0.104	0.273	0.071	3.599	1.300	1.000	1.000	1.000	0.000	?	1.000	yes	eng-spa	
9.500	9.000	0.570	0.461	17.000	0.138	69.706	0.718	0.318	0.441	0.190	0.083	0.137	0.034	96.261	63.883	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-spa	
5.000	5.000	0.423	0.321	7.000	0.111	79.571	0.552	0.080	0.001	0.199	0.052	0.024	0.071	35.533	24.183	0.000	0.000	0.000	0.000	0.000	1.000	no	spa-spa	
9.000	5.000	0.379	0.278	17.000	0.088	79.294	0.647	0.482	0.684	0.265	0.197	0.400	0.098	56.761	97.217	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-eng	
14.500	14.000	0.464	0.215	47.000	0.236	81.362	0.786	0.937	0.971	0.885	0.395	0.394	0.395	22.322	23.800	?	0.000	0.000	0.000	1.000	1.000	yes	eng-eng	
33.000	22.000	0.807	0.293	31.000	0.310	46.452	0.845	0.507	0.724	0.202	0.188	0.281	0.132	14.207	18.783	?	0.000	0.000	0.000	1.000	1.000	yes	deu-spa	
27.000	13.000	0.678	0.169	2.000	0.012	22.000	0.705	0.004	0.000	0.005	0.011	0.000	0.017	227.588	243.000	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
8.500	5.000	0.456	0.241	14.000	0.154	80.929	0.745	0.796	0.884	0.771	0.348	0.381	0.333	61.448	0.117	0.000	0.000	0.000	0.000	?	1.000	yes	deu-deu	
27.000	18.000	0.688	0.271	44.000	0.423	90.045	0.820	0.828	0.939	0.771	0.507	0.419	0.579	10.133	0.283	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
17.500	17.000	0.588	0.103	11.000	0.275	90.273	0.849	0.460	0.609	0.438	0.258	0.438	0.200	6.878	5.433	?	0.000	0.000	1.000	?	1.000	yes	eng-eng	
8.000	8.000	0.444	0.270	3.000	0.016	73.333	0.565	0.726	0.445	0.872	0.115	0.138	0.094	362.793	96.083	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-spa	
14.500	10.000	0.560	0.186	31.000	0.348	46.129	0.804	0.104	0.518	0.000	0.030	0.100	0.000	30.249	151.383	0.000	0.000	0.000	0.000	?	1.000	yes	deu-spa	
9.500	8.000	0.489	0.249	10.000	0.116	88.900	0.739	0.519	0.785	0.314	0.235	0.263	0.224	36.271	24.117	0.000	0.000	0.000	0.000	1.000	1.000	yes	spa-spa	
8.000	6.000	0.389	0.343	9.000	0.020	9.222	0.605	0.001	0.003	0.000	0.011	0.027	0.000	42.211	87.117	?	0.000	0.000	0.000	?	1.000	no	deu-spa	
14.500	12.000	0.484	0.173	39.000	0.600	31.974	0.766	0.030	0.000	0.036	0.074	0.000	0.100	38.927	32.117	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
19.000	17.000	0.535	0.163	13.000	0.066	75.769	0.790	0.033	0.000	0.041	0.030	0.000	0.036	26.595	26.950	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
6.000	5.000	0.381	0.313	25.000	0.250	62.520	0.664	0.711	0.913	0.633	0.274	0.179	0.333	3.974	2.550	1.000	1.000	1.000	0.000	?	1.000	yes	eng-spa	
25.500	25.000	0.566	0.104	34.000	0.324	78.912	0.902	0.917	0.970	0.835	0.577	0.636	0.533	10.701	5.083	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
16.500	15.000	0.435	0.310	9.000	0.024	78.667	0.622	0.570	0.508	0.623	0.277	0.304	0.250	15.843	14.217	?	0.000	0.000	0.000	0.000	1.000	yes	eng-eng	
12.000	5.000	0.410	0.065	2.000	0.027	12.500	0.777	0.016	0.000	0.021	0.013	0.000	0.017	67.704	68.167	0.000	0.000	0.000	0.000	?	1.000	no	eng-spa	
16.000	9.000	0.456	0.056	61.000	0.424	30.738	0.796	0.168	0.229	0.118	0.106	0.160	0.056	29.111	11.483	?	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
46.000	29.000	0.852	0.044	31.000	0.500	93.581	0.916	0.595	0.936	0.448	0.448	0.850	0.277	8.811	1.067	0.000	0.000	0.000	1.000	1.000	1.000	yes	eng-eng	
